"Date","State","confirmed","deaths","tests","positives","recovered","hosp","ICU","vent"
2020-01-25,"ACT",0,0,0,0,0,0,0,0
2020-01-26,"ACT",0,0,0,0,0,0,0,0
2020-01-27,"ACT",0,0,0,0,0,0,0,0
2020-01-28,"ACT",0,0,0,0,0,0,0,0
2020-01-29,"ACT",0,0,0,0,0,0,0,0
2020-01-30,"ACT",0,0,0,0,0,0,0,0
2020-01-31,"ACT",0,0,0,0,0,0,0,0
2020-02-01,"ACT",0,0,0,0,0,0,0,0
2020-02-02,"ACT",0,0,0,0,0,0,0,0
2020-02-03,"ACT",0,0,0,0,0,0,0,0
2020-02-04,"ACT",0,0,0,0,0,0,0,0
2020-02-05,"ACT",0,0,0,0,0,0,0,0
2020-02-06,"ACT",0,0,0,0,0,0,0,0
2020-02-07,"ACT",0,0,0,0,0,0,0,0
2020-02-08,"ACT",0,0,0,0,0,0,0,0
2020-02-09,"ACT",0,0,0,0,0,0,0,0
2020-02-10,"ACT",0,0,0,0,0,0,0,0
2020-02-11,"ACT",0,0,0,0,0,0,0,0
2020-02-12,"ACT",0,0,0,0,0,0,0,0
2020-02-13,"ACT",0,0,0,0,0,0,0,0
2020-02-14,"ACT",0,0,0,0,0,0,0,0
2020-02-15,"ACT",0,0,0,0,0,0,0,0
2020-02-16,"ACT",0,0,0,0,0,0,0,0
2020-02-17,"ACT",0,0,0,0,0,0,0,0
2020-02-18,"ACT",0,0,0,0,0,0,0,0
2020-02-19,"ACT",0,0,0,0,0,0,0,0
2020-02-20,"ACT",0,0,0,0,0,0,0,0
2020-02-21,"ACT",0,0,0,0,0,0,0,0
2020-02-22,"ACT",0,0,0,0,0,0,0,0
2020-02-23,"ACT",0,0,0,0,0,0,0,0
2020-02-24,"ACT",0,0,0,0,0,0,0,0
2020-02-25,"ACT",0,0,0,0,0,0,0,0
2020-02-26,"ACT",0,0,0,0,0,0,0,0
2020-02-27,"ACT",0,0,0,0,0,0,0,0
2020-02-28,"ACT",0,0,0,0,0,0,0,0
2020-02-29,"ACT",0,0,0,0,0,0,0,0
2020-03-01,"ACT",0,0,0,0,0,0,0,0
2020-03-02,"ACT",0,0,0,0,0,0,0,0
2020-03-03,"ACT",0,0,0,0,0,0,0,0
2020-03-04,"ACT",0,0,0,0,0,0,0,0
2020-03-05,"ACT",0,0,0,0,0,0,0,0
2020-03-06,"ACT",0,0,0,0,0,0,0,0
2020-03-07,"ACT",0,0,0,0,0,0,0,0
2020-03-08,"ACT",0,0,0,0,0,0,0,0
2020-03-09,"ACT",0,0,0,0,0,0,0,0
2020-03-10,"ACT",0,0,0,0,0,0,0,0
2020-03-11,"ACT",0,0,0,0,0,0,0,0
2020-03-12,"ACT",1,0,0,1,0,0,0,0
2020-03-13,"ACT",0,0,0,0,0,0,0,0
2020-03-14,"ACT",0,0,0,0,0,0,0,0
2020-03-15,"ACT",0,0,0,0,0,0,0,0
2020-03-16,"ACT",1,0,0,1,0,0,0,0
2020-03-17,"ACT",0,0,0,0,0,0,0,0
2020-03-18,"ACT",1,0,0,1,0,0,0,0
2020-03-19,"ACT",1,0,0,1,0,0,0,0
2020-03-20,"ACT",2,0,2218,2,0,0,0,0
2020-03-21,"ACT",3,0,0,3,0,0,0,0
2020-03-22,"ACT",10,0,196,10,0,0,0,0
2020-03-23,"ACT",13,0,194,13,0,0,0,0
2020-03-24,"ACT",7,0,211,7,0,0,0,0
2020-03-25,"ACT",5,0,189,5,0,0,0,0
2020-03-26,"ACT",9,0,264,9,1,0,0,0
2020-03-27,"ACT",9,0,488,9,1,0,0,0
2020-03-28,"ACT",9,0,299,9,0,0,0,0
2020-03-29,"ACT",6,0,248,6,0,0,0,0
2020-03-30,"ACT",1,1,0,1,-2,0,0,0
2020-03-31,"ACT",2,0,136,2,3,0,0,0
2020-04-01,"ACT",4,0,415,4,5,8,2,2
2020-04-02,"ACT",3,0,160,3,3,3,2,0
2020-04-03,"ACT",4,0,204,4,7,1,4,0
2020-04-04,"ACT",2,1,106,2,0,-6,-5,0
2020-04-05,"ACT",3,0,-70,3,0,1,0,0
2020-04-06,"ACT",0,0,71,0,0,0,0,0
2020-04-07,"ACT",1,0,168,1,24,-1,0,0
2020-04-08,"ACT",2,0,182,2,5,-2,0,0
2020-04-09,"ACT",1,0,123,1,7,-1,-1,0
2020-04-10,"ACT",3,0,215,3,5,1,0,0
2020-04-11,"ACT",0,0,86,0,3,0,0,0
2020-04-12,"ACT",-1,0,56,-1,5,-1,0,0
2020-04-13,"ACT",1,0,32,1,5,0,0,-1
2020-04-14,"ACT",0,0,100,0,3,0,0,0
2020-04-15,"ACT",0,1,199,0,2,-1,-1,0
2020-04-16,"ACT",0,0,129,0,2,0,0,-1
2020-04-17,"ACT",0,0,135,0,2,0,0,0
2020-04-18,"ACT",0,0,102,0,7,-1,0,0
2020-04-19,"ACT",0,0,37,0,1,0,-1,0
2020-04-20,"ACT",1,0,170,1,2,0,0,0
2020-04-21,"ACT",0,0,63,0,1,0,0,0
2020-04-22,"ACT",0,0,130,0,1,0,0,0
2020-04-23,"ACT",0,0,111,0,0,0,0,0
2020-04-24,"ACT",1,0,73,1,4,0,0,0
2020-04-25,"ACT",1,0,298,1,1,0,1,0
2020-04-26,"ACT",0,0,148,0,1,0,0,0
2020-04-27,"ACT",0,0,216,0,1,0,0,0
2020-04-28,"ACT",0,0,246,0,1,0,0,0
2020-04-29,"ACT",0,0,94,0,0,-1,-1,0
2020-04-30,"ACT",0,0,232,0,2,0,0,0
2020-05-01,"ACT",0,0,307,0,0,0,0,0
2020-05-02,"ACT",0,0,262,0,0,0,0,0
2020-05-03,"ACT",0,0,159,0,0,0,0,0
2020-05-04,"ACT",1,0,226,1,0,0,0,0
2020-05-05,"ACT",0,0,201,0,0,0,0,0
2020-05-06,"ACT",0,0,273,0,0,0,0,0
2020-05-07,"ACT",0,0,376,0,0,0,0,0
2020-05-08,"ACT",0,0,479,0,0,0,0,0
2020-05-09,"ACT",0,0,317,0,0,0,0,0
2020-05-10,"ACT",0,0,463,0,1,0,0,0
2020-05-11,"ACT",0,0,202,0,0,0,0,0
2020-05-12,"ACT",0,0,428,0,0,0,0,0
2020-05-13,"ACT",0,0,270,0,0,0,0,0
2020-05-14,"ACT",0,0,429,0,0,0,0,0
2020-05-15,"ACT",0,0,427,0,0,0,0,0
2020-05-16,"ACT",0,0,361,0,0,0,0,0
2020-05-17,"ACT",0,0,204,0,0,0,0,0
2020-05-18,"ACT",0,0,232,0,0,0,0,0
2020-05-19,"ACT",0,0,158,0,0,0,0,0
2020-05-20,"ACT",0,0,264,0,0,0,0,0
2020-05-21,"ACT",0,0,204,0,0,0,0,0
2020-05-22,"ACT",0,0,337,0,0,0,0,0
2020-05-23,"ACT",0,0,314,0,0,0,0,0
2020-05-24,"ACT",0,0,193,0,0,0,0,0
2020-05-25,"ACT",0,0,246,0,0,0,0,0
2020-05-26,"ACT",0,0,190,0,0,0,0,0
2020-05-27,"ACT",0,0,379,0,0,0,0,0
