"Date","State","confirmed_cum","deaths_cum","tests_cum","positives_cum","recovered_cum","hosp_cum","ICU_cum","vent_cum"
2020-01-25,"ACT",0,0,0,0,0,0,0,0
2020-01-26,"ACT",0,0,0,0,0,0,0,0
2020-01-27,"ACT",0,0,0,0,0,0,0,0
2020-01-28,"ACT",0,0,0,0,0,0,0,0
2020-01-29,"ACT",0,0,0,0,0,0,0,0
2020-01-30,"ACT",0,0,0,0,0,0,0,0
2020-01-31,"ACT",0,0,0,0,0,0,0,0
2020-02-01,"ACT",0,0,0,0,0,0,0,0
2020-02-02,"ACT",0,0,0,0,0,0,0,0
2020-02-03,"ACT",0,0,0,0,0,0,0,0
2020-02-04,"ACT",0,0,0,0,0,0,0,0
2020-02-05,"ACT",0,0,0,0,0,0,0,0
2020-02-06,"ACT",0,0,0,0,0,0,0,0
2020-02-07,"ACT",0,0,0,0,0,0,0,0
2020-02-08,"ACT",0,0,0,0,0,0,0,0
2020-02-09,"ACT",0,0,0,0,0,0,0,0
2020-02-10,"ACT",0,0,0,0,0,0,0,0
2020-02-11,"ACT",0,0,0,0,0,0,0,0
2020-02-12,"ACT",0,0,0,0,0,0,0,0
2020-02-13,"ACT",0,0,0,0,0,0,0,0
2020-02-14,"ACT",0,0,0,0,0,0,0,0
2020-02-15,"ACT",0,0,0,0,0,0,0,0
2020-02-16,"ACT",0,0,0,0,0,0,0,0
2020-02-17,"ACT",0,0,0,0,0,0,0,0
2020-02-18,"ACT",0,0,0,0,0,0,0,0
2020-02-19,"ACT",0,0,0,0,0,0,0,0
2020-02-20,"ACT",0,0,0,0,0,0,0,0
2020-02-21,"ACT",0,0,0,0,0,0,0,0
2020-02-22,"ACT",0,0,0,0,0,0,0,0
2020-02-23,"ACT",0,0,0,0,0,0,0,0
2020-02-24,"ACT",0,0,0,0,0,0,0,0
2020-02-25,"ACT",0,0,0,0,0,0,0,0
2020-02-26,"ACT",0,0,0,0,0,0,0,0
2020-02-27,"ACT",0,0,0,0,0,0,0,0
2020-02-28,"ACT",0,0,0,0,0,0,0,0
2020-02-29,"ACT",0,0,0,0,0,0,0,0
2020-03-01,"ACT",0,0,0,0,0,0,0,0
2020-03-02,"ACT",0,0,0,0,0,0,0,0
2020-03-03,"ACT",0,0,0,0,0,0,0,0
2020-03-04,"ACT",0,0,0,0,0,0,0,0
2020-03-05,"ACT",0,0,0,0,0,0,0,0
2020-03-06,"ACT",0,0,0,0,0,0,0,0
2020-03-07,"ACT",0,0,0,0,0,0,0,0
2020-03-08,"ACT",0,0,0,0,0,0,0,0
2020-03-09,"ACT",0,0,0,0,0,0,0,0
2020-03-10,"ACT",0,0,0,0,0,0,0,0
2020-03-11,"ACT",0,0,0,0,0,0,0,0
2020-03-12,"ACT",1,0,0,1,0,0,0,0
2020-03-13,"ACT",1,0,0,1,0,0,0,0
2020-03-14,"ACT",1,0,0,1,0,0,0,0
2020-03-15,"ACT",1,0,0,1,0,0,0,0
2020-03-16,"ACT",2,0,0,2,0,0,0,0
2020-03-17,"ACT",2,0,0,2,0,0,0,0
2020-03-18,"ACT",3,0,0,3,0,0,0,0
2020-03-19,"ACT",4,0,0,4,0,0,0,0
2020-03-20,"ACT",6,0,2218,6,0,0,0,0
2020-03-21,"ACT",9,0,2218,9,0,0,0,0
2020-03-22,"ACT",19,0,2414,19,0,0,0,0
2020-03-23,"ACT",32,0,2608,32,0,0,0,0
2020-03-24,"ACT",39,0,2819,39,0,0,0,0
2020-03-25,"ACT",44,0,3008,44,0,0,0,0
2020-03-26,"ACT",53,0,3272,53,1,0,0,0
2020-03-27,"ACT",62,0,3760,62,2,0,0,0
2020-03-28,"ACT",71,0,4059,71,2,0,0,0
2020-03-29,"ACT",77,0,4307,77,2,0,0,0
2020-03-30,"ACT",78,1,4307,78,0,0,0,0
2020-03-31,"ACT",80,1,4443,80,3,0,0,0
2020-04-01,"ACT",84,1,4858,84,8,8,2,2
2020-04-02,"ACT",87,1,5018,87,11,11,4,2
2020-04-03,"ACT",91,1,5222,91,18,12,8,2
2020-04-04,"ACT",93,2,5328,93,18,6,3,2
2020-04-05,"ACT",96,2,5258,96,18,7,3,2
2020-04-06,"ACT",96,2,5329,96,18,7,3,2
2020-04-07,"ACT",97,2,5497,97,42,6,3,2
2020-04-08,"ACT",99,2,5679,99,47,4,3,2
2020-04-09,"ACT",100,2,5802,100,54,3,2,2
2020-04-10,"ACT",103,2,6017,103,59,4,2,2
2020-04-11,"ACT",103,2,6103,103,62,4,2,2
2020-04-12,"ACT",102,2,6159,102,67,3,2,2
2020-04-13,"ACT",103,2,6191,103,72,3,2,1
2020-04-14,"ACT",103,2,6291,103,75,3,2,1
2020-04-15,"ACT",103,3,6490,103,77,2,1,1
2020-04-16,"ACT",103,3,6619,103,79,2,1,0
2020-04-17,"ACT",103,3,6754,103,81,2,1,0
2020-04-18,"ACT",103,3,6856,103,88,1,1,0
2020-04-19,"ACT",103,3,6893,103,89,1,0,0
2020-04-20,"ACT",104,3,7063,104,91,1,0,0
2020-04-21,"ACT",104,3,7126,104,92,1,0,0
2020-04-22,"ACT",104,3,7256,104,93,1,0,0
2020-04-23,"ACT",104,3,7367,104,93,1,0,0
2020-04-24,"ACT",105,3,7440,105,97,1,0,0
2020-04-25,"ACT",106,3,7738,106,98,1,1,0
2020-04-26,"ACT",106,3,7886,106,99,1,1,0
2020-04-27,"ACT",106,3,8102,106,100,1,1,0
2020-04-28,"ACT",106,3,8348,106,101,1,1,0
2020-04-29,"ACT",106,3,8442,106,101,0,0,0
2020-04-30,"ACT",106,3,8674,106,103,0,0,0
2020-05-01,"ACT",106,3,8981,106,103,0,0,0
2020-05-02,"ACT",106,3,9243,106,103,0,0,0
2020-05-03,"ACT",106,3,9402,106,103,0,0,0
2020-05-04,"ACT",107,3,9628,107,103,0,0,0
2020-05-05,"ACT",107,3,9829,107,103,0,0,0
2020-05-06,"ACT",107,3,10102,107,103,0,0,0
2020-05-07,"ACT",107,3,10478,107,103,0,0,0
2020-05-08,"ACT",107,3,10957,107,103,0,0,0
2020-05-09,"ACT",107,3,11274,107,103,0,0,0
2020-05-10,"ACT",107,3,11737,107,104,0,0,0
2020-05-11,"ACT",107,3,11939,107,104,0,0,0
2020-05-12,"ACT",107,3,12367,107,104,0,0,0
2020-05-13,"ACT",107,3,12637,107,104,0,0,0
2020-05-14,"ACT",107,3,13066,107,104,0,0,0
2020-05-15,"ACT",107,3,13493,107,104,0,0,0
2020-05-16,"ACT",107,3,13854,107,104,0,0,0
2020-05-17,"ACT",107,3,14058,107,104,0,0,0
2020-05-18,"ACT",107,3,14290,107,104,0,0,0
2020-05-19,"ACT",107,3,14448,107,104,0,0,0
2020-05-20,"ACT",107,3,14712,107,104,0,0,0
2020-05-21,"ACT",107,3,14916,107,104,0,0,0
2020-05-22,"ACT",107,3,15253,107,104,0,0,0
2020-05-23,"ACT",107,3,15567,107,104,0,0,0
2020-05-24,"ACT",107,3,15760,107,104,0,0,0
2020-05-25,"ACT",107,3,16006,107,104,0,0,0
