"date","state","confirmed","deaths","tests","positives","recovered","hosp","icu","vent"
2020-01-25,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-01-25,"New South Wales",3,0,0,0,0,0,0,0
2020-01-25,"Northern Territory",0,0,0,0,0,0,0,0
2020-01-25,"Queensland",0,0,0,0,0,0,0,0
2020-01-25,"South Australia",0,0,0,0,0,0,0,0
2020-01-25,"Tasmania",0,0,0,0,0,0,0,0
2020-01-25,"Victoria",1,0,0,0,0,0,0,0
2020-01-25,"Western Australia",0,0,0,0,0,0,0,0
2020-01-26,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-01-26,"New South Wales",3,0,0,0,0,0,0,0
2020-01-26,"Northern Territory",0,0,0,0,0,0,0,0
2020-01-26,"Queensland",0,0,0,0,0,0,0,0
2020-01-26,"South Australia",0,0,0,0,0,0,0,0
2020-01-26,"Tasmania",0,0,0,0,0,0,0,0
2020-01-26,"Victoria",1,0,0,0,0,0,0,0
2020-01-26,"Western Australia",0,0,0,0,0,0,0,0
2020-01-27,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-01-27,"New South Wales",4,0,0,0,0,0,0,0
2020-01-27,"Northern Territory",0,0,0,0,0,0,0,0
2020-01-27,"Queensland",0,0,0,0,0,0,0,0
2020-01-27,"South Australia",0,0,0,0,0,0,0,0
2020-01-27,"Tasmania",0,0,0,0,0,0,0,0
2020-01-27,"Victoria",1,0,0,0,0,0,0,0
2020-01-27,"Western Australia",0,0,0,0,0,0,0,0
2020-01-28,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-01-28,"New South Wales",4,0,0,0,0,0,0,0
2020-01-28,"Northern Territory",0,0,0,0,0,0,0,0
2020-01-28,"Queensland",0,0,0,0,0,0,0,0
2020-01-28,"South Australia",0,0,0,0,0,0,0,0
2020-01-28,"Tasmania",0,0,0,0,0,0,0,0
2020-01-28,"Victoria",1,0,0,0,0,0,0,0
2020-01-28,"Western Australia",0,0,0,0,0,0,0,0
2020-01-29,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-01-29,"New South Wales",4,0,0,0,0,0,0,0
2020-01-29,"Northern Territory",0,0,0,0,0,0,0,0
2020-01-29,"Queensland",2,0,0,0,0,0,0,0
2020-01-29,"South Australia",0,0,0,0,0,0,0,0
2020-01-29,"Tasmania",0,0,0,0,0,0,0,0
2020-01-29,"Victoria",3,0,0,0,0,0,0,0
2020-01-29,"Western Australia",0,0,0,0,0,0,0,0
2020-01-30,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-01-30,"New South Wales",4,0,0,0,0,0,0,0
2020-01-30,"Northern Territory",0,0,0,0,0,0,0,0
2020-01-30,"Queensland",2,0,0,0,0,0,0,0
2020-01-30,"South Australia",0,0,0,0,0,0,0,0
2020-01-30,"Tasmania",0,0,0,0,0,0,0,0
2020-01-30,"Victoria",3,0,0,0,0,0,0,0
2020-01-30,"Western Australia",0,0,0,0,0,0,0,0
2020-01-31,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-01-31,"New South Wales",4,0,0,0,0,0,0,0
2020-01-31,"Northern Territory",0,0,0,0,0,0,0,0
2020-01-31,"Queensland",2,0,0,0,0,0,0,0
2020-01-31,"South Australia",0,0,0,0,0,0,0,0
2020-01-31,"Tasmania",0,0,0,0,0,0,0,0
2020-01-31,"Victoria",3,0,0,0,0,0,0,0
2020-01-31,"Western Australia",0,0,0,0,0,0,0,0
2020-02-01,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-01,"New South Wales",4,0,0,0,0,0,0,0
2020-02-01,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-01,"Queensland",2,0,0,0,0,0,0,0
2020-02-01,"South Australia",0,0,0,0,0,0,0,0
2020-02-01,"Tasmania",0,0,0,0,0,0,0,0
2020-02-01,"Victoria",4,0,0,0,0,0,0,0
2020-02-01,"Western Australia",0,0,0,0,0,0,0,0
2020-02-02,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-02,"New South Wales",4,0,0,0,0,0,0,0
2020-02-02,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-02,"Queensland",2,0,0,0,0,0,0,0
2020-02-02,"South Australia",2,0,0,0,0,0,0,0
2020-02-02,"Tasmania",0,0,0,0,0,0,0,0
2020-02-02,"Victoria",4,0,0,0,0,0,0,0
2020-02-02,"Western Australia",0,0,0,0,0,0,0,0
2020-02-03,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-03,"New South Wales",4,0,0,0,0,0,0,0
2020-02-03,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-03,"Queensland",2,0,0,0,0,0,0,0
2020-02-03,"South Australia",2,0,0,0,0,0,0,0
2020-02-03,"Tasmania",0,0,0,0,0,0,0,0
2020-02-03,"Victoria",4,0,0,0,0,0,0,0
2020-02-03,"Western Australia",0,0,0,0,0,0,0,0
2020-02-04,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-04,"New South Wales",4,0,0,0,0,0,0,0
2020-02-04,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-04,"Queensland",3,0,0,0,0,0,0,0
