"date","confirmed","deaths","tests","positives","recovered","hosp","icu","vent","population","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","id"
2020-01-25,4,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-01-26,4,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-01-27,5,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-01-28,5,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-01-29,9,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-01-30,9,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-01-31,9,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-01,10,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-02,12,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-03,12,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-04,13,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-05,14,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-06,15,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-07,15,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-08,15,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-09,15,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-10,15,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-11,15,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-12,15,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-13,15,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-14,15,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-15,15,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-16,15,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-17,15,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-18,15,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-19,15,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-20,15,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-21,19,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-22,20,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-23,20,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-24,20,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-25,20,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-26,20,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-27,23,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-28,25,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-02-29,25,0,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-03-01,28,1,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-03-02,32,1,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-03-03,40,2,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-03-04,51,2,0,0,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-03-05,59,2,0,24,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-03-06,63,2,0,32,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-03-07,73,2,7214,70,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-03-08,80,2,8008,76,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-03-09,92,3,8371,86,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-03-10,112,3,10165,106,0,0,0,0,25459470,1,"Australia",,,"99999999"
2020-03-11,127,3,10221,116,0,0,0,0,25459470,1,"Australia",,,"99999999"
