"date","confirmed","deaths","tests","positives","recovered","hosp","icu","vent"
2020-01-25,4,0,0,0,0,0,0,0
2020-01-26,4,0,0,0,0,0,0,0
2020-01-27,5,0,0,0,0,0,0,0
2020-01-28,5,0,0,0,0,0,0,0
2020-01-29,9,0,0,0,0,0,0,0
2020-01-30,9,0,0,0,0,0,0,0
2020-01-31,9,0,0,0,0,0,0,0
2020-02-01,10,0,0,0,0,0,0,0
2020-02-02,12,0,0,0,0,0,0,0
2020-02-03,12,0,0,0,0,0,0,0
2020-02-04,13,0,0,0,0,0,0,0
2020-02-05,14,0,0,0,0,0,0,0
2020-02-06,15,0,0,0,0,0,0,0
2020-02-07,15,0,0,0,0,0,0,0
2020-02-08,15,0,0,0,0,0,0,0
2020-02-09,15,0,0,0,0,0,0,0
2020-02-10,15,0,0,0,0,0,0,0
2020-02-11,15,0,0,0,0,0,0,0
2020-02-12,15,0,0,0,0,0,0,0
2020-02-13,15,0,0,0,0,0,0,0
2020-02-14,15,0,0,0,0,0,0,0
2020-02-15,15,0,0,0,0,0,0,0
2020-02-16,15,0,0,0,0,0,0,0
2020-02-17,15,0,0,0,0,0,0,0
2020-02-18,15,0,0,0,0,0,0,0
2020-02-19,15,0,0,0,0,0,0,0
2020-02-20,15,0,0,0,0,0,0,0
2020-02-21,19,0,0,0,0,0,0,0
2020-02-22,20,0,0,0,0,0,0,0
2020-02-23,20,0,0,0,0,0,0,0
2020-02-24,20,0,0,0,0,0,0,0
2020-02-25,20,0,0,0,0,0,0,0
2020-02-26,20,0,0,0,0,0,0,0
2020-02-27,23,0,0,0,0,0,0,0
2020-02-28,25,0,0,0,0,0,0,0
2020-02-29,25,0,0,0,0,0,0,0
2020-03-01,28,1,0,0,0,0,0,0
2020-03-02,32,1,0,0,0,0,0,0
2020-03-03,40,2,0,0,0,0,0,0
2020-03-04,51,2,0,0,0,0,0,0
2020-03-05,59,2,0,24,0,0,0,0
2020-03-06,63,2,0,32,0,0,0,0
2020-03-07,73,2,7214,70,0,0,0,0
2020-03-08,80,2,8008,76,0,0,0,0
2020-03-09,92,3,8371,86,0,0,0,0
2020-03-10,112,3,10165,106,0,0,0,0
2020-03-11,127,3,10221,116,0,0,0,0
2020-03-12,157,3,14856,145,0,0,0,0
2020-03-13,198,4,16685,180,0,0,0,0
2020-03-14,249,5,20496,229,0,0,0,0
2020-03-15,297,5,22567,278,0,0,0,0
2020-03-16,376,5,38664,339,0,0,0,0
2020-03-17,454,5,44444,420,0,0,0,0
2020-03-18,567,6,51000,527,0,0,0,0
2020-03-19,709,6,83333,652,28,0,0,0
2020-03-20,847,7,91399,775,39,0,0,0
2020-03-21,1072,7,100284,965,51,0,0,0
2020-03-22,1352,7,109286,1199,70,0,0,0
2020-03-23,1680,7,115643,1506,97,0,0,0
2020-03-24,2050,8,123200,1839,113,0,0,0
2020-03-25,2430,9,156086,2198,129,0,0,0
2020-03-26,2809,13,176505,2771,151,0,0,0
2020-03-27,3180,13,192784,3158,204,0,0,0
2020-03-28,3640,14,208035,3610,223,0,0,0
2020-03-29,3984,16,223514,3972,225,0,0,0
2020-03-30,4250,18,231168,4244,291,0,0,0
2020-03-31,4561,19,242924,4529,345,32,6,0
2020-04-01,4864,22,256953,4835,418,400,76,33
2020-04-02,5137,24,266897,5116,572,415,81,32
2020-04-03,5362,28,275372,5271,635,410,86,32
2020-04-04,5552,30,284891,5470,686,460,92,33
2020-04-05,5693,35,297144,5688,788,460,96,33
2020-04-06,5799,41,302663,5800,849,458,96,35
2020-04-07,5918,48,310700,5919,2549,305,93,37
2020-04-08,6023,50,319368,6015,2815,263,87,36
2020-04-09,6108,51,330134,6109,2989,262,81,36
2020-04-10,6214,54,338346,6215,3142,236,74,38
2020-04-11,6302,56,347847,6303,3266,240,80,38
2020-04-12,6324,59,353941,6325,3338,239,81,35
2020-04-13,6365,61,362136,6365,3494,227,79,46
2020-04-14,6414,62,366493,6414,3598,230,80,44
2020-04-15,6448,63,371377,6448,3688,214,73,42
2020-04-16,6478,63,380003,6478,3747,201,67,38
2020-04-17,6525,65,391530,6525,3819,192,60,38
2020-04-18,6567,69,406510,6567,4163,184,56,34
2020-04-19,6611,71,420996,6611,4230,178,48,33
2020-04-20,6624,71,431734,6622,4258,170,49,32
2020-04-21,6646,72,439842,6644,4695,167,47,33
2020-04-22,6653,74,452441,6651,4935,162,47,31
2020-04-23,6661,76,466659,6659,5045,152,46,29
2020-04-24,6678,79,482370,6676,5136,139,42,28
2020-04-25,6696,81,494257,6694,5373,129,43,28
2020-04-26,6715,83,506449,6713,5541,115,43,25
2020-04-27,6722,83,517063,6720,5588,113,44,27
2020-04-28,6734,88,530679,6732,5630,110,43,27
2020-04-29,6747,90,544410,6745,5670,94,38,26
2020-04-30,6755,92,563641,6753,5717,89,34,22
2020-05-01,6768,93,588868,6766,5747,83,29,21
2020-05-02,6783,93,611583,6781,5796,79,28,21
2020-05-03,6801,95,633107,6799,5817,75,28,20
2020-05-04,6825,96,650214,6823,5863,70,28,20
2020-05-05,6851,97,664756,6849,5890,66,27,20
2020-05-06,6875,97,688656,6873,5979,62,27,18
2020-05-07,6897,97,722549,6895,6038,58,23,17
2020-05-08,6915,97,757250,6913,6084,56,21,16
2020-05-09,6929,97,795456,6927,6137,51,19,15
2020-05-10,6941,97,827872,6939,6166,43,18,15
2020-05-11,6948,97,855119,6946,6182,49,16,14
2020-05-12,6968,97,877927,6966,6233,47,16,15
2020-05-13,6979,98,909025,6977,6274,50,17,14
2020-05-14,6994,98,943299,6992,6299,51,18,13
2020-05-15,7025,98,983816,7023,6336,47,18,13
2020-05-16,7042,98,1015652,7040,6366,49,16,12
2020-05-17,7051,98,1042126,7049,6370,50,16,12
2020-05-18,7060,99,1062034,7058,6397,45,12,7
2020-05-19,7068,100,1085870,7066,6416,47,11,7
2020-05-20,7079,100,1111567,7077,6446,44,9,7
2020-05-21,7081,100,1137684,7079,6473,41,9,7
2020-05-22,7095,101,1170682,7093,6481,40,7,6
2020-05-23,7111,102,1192262,7109,6496,36,5,5
2020-05-24,7114,102,1224795,7112,6511,33,5,5
2020-05-25,7118,102,1244203,7116,6534,31,5,5
2020-05-26,7133,102,1288223,7131,6555,30,5,5
2020-05-27,7139,102,1338321,7137,6562,30,6,3
2020-05-28,7157,102,1367444,7155,6584,29,5,3
2020-05-29,7173,102,1397622,7171,6584,23,4,3
2020-05-30,7185,102,1428538,7183,6618,22,4,3
2020-05-31,7195,102,1454568,7193,6616,20,4,1
2020-06-01,7204,102,1472220,7202,6621,20,3,1
2020-06-02,7221,102,1490387,7219,6626,26,4,2
2020-06-03,7229,102,1512700,7227,6641,25,5,2
2020-06-04,7240,102,1546329,7238,6666,23,4,2
2020-06-05,7251,102,1579192,7249,6682,21,3,2
2020-06-06,7255,102,1590588,7253,6692,21,4,2
2020-06-07,7259,102,1617462,7257,6701,18,3,2
2020-06-08,7265,102,1633515,7263,6708,19,3,2
2020-06-09,7267,102,1650684,7265,6722,19,2,2
2020-06-10,7276,102,1679954,7274,6746,20,3,2
2020-06-11,7285,102,1711223,7283,6761,18,2,2
2020-06-12,7289,102,1745550,7287,6783,18,2,2
2020-06-13,7302,102,1782651,7300,6812,16,2,0
2020-06-14,7320,102,1812353,7318,6838,16,3,0
2020-06-15,7335,102,1828149,7333,6851,17,4,0
2020-06-16,7347,102,1848347,7345,6856,17,3,2
2020-06-17,7370,102,1881519,7368,6870,16,3,3
2020-06-18,7391,102,1927497,7388,6870,14,3,2
2020-06-19,7409,102,1970205,7407,6871,15,2,2
