"COVID_Data_Hub.date","COVID_Data_Hub.confirmed","COVID_Data_Hub.deaths","COVID_Data_Hub.tests","COVID_Data_Hub.positives","COVID_Data_Hub.recovered","COVID_Data_Hub.hosp","COVID_Data_Hub.icu","COVID_Data_Hub.vent","COVID_Data_Hub.population","COVID_Data_Hub.administrative_area_level","COVID_Data_Hub.administrative_area_level_1","COVID_Data_Hub.administrative_area_level_2","COVID_Data_Hub.administrative_area_level_3","COVID_Data_Hub.id"
2020-01-25,4,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-01-26,4,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-01-27,5,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-01-28,5,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-01-29,9,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-01-30,9,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-01-31,9,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-01,10,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-02,12,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-03,12,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-04,13,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-05,14,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-06,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-07,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-08,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-09,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-10,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-11,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-12,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-13,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-14,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-15,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-16,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-17,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-18,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-19,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-20,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-21,19,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-22,20,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-23,20,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-24,20,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-25,20,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-26,20,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-27,23,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-28,25,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-02-29,25,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-03-01,28,1,0,28,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-03-02,32,1,0,32,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-03-03,40,2,0,40,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-03-04,51,2,0,51,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-03-05,59,2,0,59,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-03-06,63,2,0,63,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-03-07,73,2,7214,73,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-03-08,80,2,8008,80,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-03-09,92,3,8371,92,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-03-10,112,3,10165,112,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-03-11,127,3,10221,127,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-03-12,157,3,14856,157,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-03-13,198,4,16685,198,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
